productid,kmeans_cluster,hac_complete_cluster,hac_single_cluster
B0000635UX,1,0,0
B00006HQR8,1,0,0
B00006JPDI,1,0,0
B00007E7JU,1,0,0
B00007M1TZ,1,0,0
B000204SWE,1,0,0
B00020S7XK,1,0,0
B0002GRL7M,1,0,0
B0002KVQBA,1,0,0
B0002L5R78,1,0,0
B000652M6Y,1,0,0
B00066IJPQ,1,0,0
B0006BKH3S,1,0,0
B00093IIRA,1,0,0
B0009YDP7W,1,0,0
B000A6NV0U,1,0,0
B000A6PPOK,1,0,0
B000BQ7GW8,1,0,0
B000BSOBG0,1,0,0
B000CKVOOY,1,0,0
B000CRFOMK,1,0,0
B000EW8074,1,0,0
B000FKP7TY,1,0,0
B000HHYEKI,1,0,0
B000HI9O5W,3,0,0
B000HZGQ9C,1,0,0
B000IN09C8,1,0,0
B000JMJWV2,1,0,0
B000LRMS66,1,0,0
B000M87F0I,1,0,0
B000MKC34E,1,0,0
B000MS3VGA,1,0,0
B000N99BBC,1,0,0
B000OGX5AM,1,0,0
B000R9AAJA,1,0,0
B000RQSGYO,1,0,0
B000S5Q9CA,1,0,0
B000V0ET92,1,0,0
B000V1MLBE,1,0,0
B000WAHFBK,1,0,0
B000WBQOZW,1,0,0
B000WL6YY8,1,0,0
B000ZH98LU,1,0,0
B0011FQURK,1,0,0
B0013G8PTS,1,0,0
B0015AARJI,1,0,0
B0015C30J0,1,0,0
B0015DYMVO,1,0,0
B0017JY5FE,1,0,0
B0019EHU8G,1,0,0
B001AI6CNK,1,0,0
B001CCAISE,1,0,0
B001E1Y5O6,1,0,0
B001F7ARTQ,1,0,0
B001G4BNZA,1,0,0
B001ISKNKA,1,0,0
B001NJ0WCS,1,0,0
B001NPEC5A,1,0,0
B001O9X9EU,1,0,0
B001QFZMCO,1,0,0
B001QUA6RA,1,0,0
B001TH7GSW,1,0,0
B001TH7GUU,1,0,0
B001TH7GVE,1,0,0
B001TUYTZM,1,0,0
B001U8VL9K,1,0,0
B001XHBNN2,1,0,0
B0026ZPFCK,1,0,0
B0028ACYEK,1,0,0
B002HWRJY4,1,0,0
B002J9HBIO,1,0,0
B002JCSV8A,1,0,0
B002JPITXY,1,0,0
B002KFZSKA,1,0,0
B002LITI8E,1,0,0
B002MAPRYU,1,0,0
B002O3W3Y2,1,0,0
B002QXZPFE,1,0,0
B002R5AM7C,1,0,0
B002R9CQYK,1,0,0
B002S53LJ2,1,0,0
B002SQK2F2,1,0,0
B002U1ZBG0,1,0,0
B002V88HFE,1,0,0
B002VPE1Q6,1,0,0
B002VPE1QG,1,0,0
B002WE6D44,1,3,3
B002XVUTPK,1,0,0
B002YIG9AQ,1,0,0
B002ZIMEMW,1,0,0
B0034CL2ZI,1,0,0
B0036Q7MV0,1,0,0
B0036RDVRI,1,0,0
B0037NYQ7K,1,0,0
B0039BPG1A,1,0,0
B003A7CDY6,1,0,0
B003CJTR82,1,0,0
B003CVOK28,1,0,0
B003CY0SR6,1,0,0
B003DNYW5A,1,0,0
B003ELYQGG,1,0,0
B003EM0RM2,1,0,0
B003ES5ZUU,0,1,1
B003IVZVDO,1,0,0
B003KPBRRW,1,0,0
B003L62T7W,1,0,0
B003LVZO8S,1,0,0
B003MVMTDA,1,0,0
B003N7P6TC,1,0,0
B003QKBVYK,1,0,0
B003R6U6HG,1,0,0
B003RV4AYQ,1,0,0
B003SWLRLS,1,0,0
B003SX0P1A,1,0,0
B003UE52ME,1,0,0
B003VAHYTG,1,0,0
B003VANO7C,1,0,0
B003WUBIZQ,1,0,0
B003XE3X8Q,1,0,0
B003XM1WE0,1,0,0
B003XM9774,1,0,0
B003YFHE9I,1,0,0
B003ZBZ64Q,1,0,0
B00406YHLI,1,0,0
B0041UJVI2,1,0,0
B0043T7FXE,1,0,0
B00486MH80,3,0,0
B0049S6ZUS,1,0,0
B0049YQVHE,1,0,0
B004BQTTE2,1,0,0
B004CLYEH8,1,0,0
B004CZ9U96,1,0,0
B004F488Z6,1,0,0
B004G6002M,1,0,0
B004GF8TIK,1,0,0
B004HHICKC,1,0,0
B004HT6TS2,1,0,0
B004IZN3WU,1,0,0
B004J3V90Y,1,0,0
B004J4VYG2,1,0,0
B004JWA70I,1,0,0
B004M8SSZK,1,0,0
B004NBL9WK,1,0,0
B004OB0EBQ,1,0,0
B004Q0PT3I,1,0,0
B004Q3R9AQ,1,0,0
B004QK7HI8,1,0,0
B004R7A9YE,1,0,0
B004RKQM8I,1,0,0
B004SBBD8U,1,0,0
B004SBBDD0,1,0,0
B004T0EQP2,1,0,0
B004T9RR6I,1,0,0
B004TPJKEY,1,0,0
B004WY83FO,1,0,0
B004XC6GJ0,1,0,0
B004XZL980,1,0,0
B004YW7WCY,1,0,0
B004ZF0PXI,1,0,0
B0054L8N7M,1,0,0
B0056TYRMW,1,0,0
B0056YNA2A,1,0,0
B0057OCDQS,1,0,0
B005C31HC0,1,0,0
B005CLPP8E,1,0,0
B005DKZTMG,1,0,0
B005EIGUD4,1,0,0
B005EJLFXI,1,0,0
B005FUNYSA,1,0,0
B005FVNGRI,1,0,0
B005FYNSPK,1,0,0
B005GGTTZ0,1,0,0
B005HFYE1O,1,0,0
B005KDYBIO,1,0,0
B005KJJKVG,1,0,0
B005KOZNBW,1,0,0
B005LJQMZC,1,0,0
B005S6XUXA,1,0,0
B00609B3J2,1,0,0
B0060B7NCG,1,0,0
B00622AG6S,1,0,0
B0063705PE,1,0,0
B0064DEI50,1,0,0
B0067MK1TU,1,0,0
B006EKIQYM,1,0,0
B006GWO5WK,1,0,0
B006W8U2MU,1,0,0
